MicroRNA	Sample_P004	Sample_P018	Sample_P010	Sample_P020	Sample_P015	Sample_P005	Sample_P007	Sample_P011	Sample_P009	Sample_P001	Sample_P006	Sample_P016	Sample_P019	Sample_P013	Sample_P012	Sample_P014	Sample_P017	Sample_P003	Sample_P002	Sample_P008
hsa-miR-101-5p	3	34	38	35	3	6	6	29	26	4	41	43	3	43	17	16	29	12	16	4
hsa-miR-6771-3p				1		1										1				
hsa-miR-4668-5p		1	2	1		1							1						1	
hsa-miR-6730-3p														1						
hsa-miR-6748-3p									1										2	
hsa-miR-4671-5p		1												1						
hsa-miR-1248	18	68	105	110	51	18	23	51	59	16	44	96	60	35	47	38	14	16	48	33
hsa-miR-5092		1	1									1								
hsa-miR-6826-5p			1	2			1					1		1	1					
hsa-miR-4463			1							1								3	1	
hsa-miR-548b-5p		2	2	3		1		5			2			2	1	1	2	1	1	1
hsa-miR-4513									1											
hsa-miR-4763-5p	1		17					1					1							
hsa-miR-518e-5p				0.333333333333333	0.166666666666667															
hsa-miR-6132					1															
hsa-miR-579-5p		1					1	1					3							
hsa-miR-1306-3p		2	3	2		2						1		3		1		2		
hsa-miR-3917							2	1	1							1		1		
hsa-miR-205-5p	34240	133062	109476	11827	40028	133029	55874	157652	67939	18014	96279	45452	71441	116654	92061	109849	57859	44420	113549	104708
hsa-miR-496		3	1	9	2	1		3	3		3	3	7	7	1		2	1	3	
hsa-miR-320c	15.8333333333333	20.5	37	26	9	49.4166666666667	21.6666666666667	57.4166666666667	14	18.5	20.6666666666667	13.6666666666667	21	42.6666666666667	28.6666666666667	38.3333333333333	43	52.3333333333333	45.3666666666667	22
hsa-miR-6836-5p		1				1					1								1	
hsa-miR-6818-3p						1	1	1				1		2			1			
hsa-miR-6515-5p	1							1	1					1						1
hsa-miR-653-5p		3	3	5		1		13	2		3	3		6	1	3	3	1	2	1
hsa-miR-6503-5p	1	3	4	3		1		1	4	1			4			3	9	2		
hsa-miR-3162-3p		1		1	1	1	1	1		2						2		2		1
hsa-miR-4477a				1				1												
hsa-miR-4722-5p						2														
hsa-miR-6504-5p	1		3					2			1	1					2		1	
hsa-miR-375	139	317	2086	20420	4	436	689	461	17	11	4402	19	151	1362	513	160	506	27	3022	253
hsa-miR-627-5p	1	2	9	5				3	4		3	1	2	4	4	1	6			
hsa-miR-424-3p	2	19	9	36	22	8	1	31	23	5	10	43	14	18	13	6	11	3	13	4
hsa-miR-1277-5p		24	46	7		3	2	11	18		12	30	1	7	3	2	7		8	2
hsa-miR-513a-3p									1.5											
hsa-miR-3074-5p			4	1				1	2			1	1	1		1				
hsa-miR-210-5p	9	10	32	6	5	29	21	19	15	1	27	2	10	23	25	13	16	20	18	9
hsa-miR-95-5p	2	5	10	1	1		1	4	2	1	7	17		10			7	3	2	
hsa-miR-4708-3p	1	1															1	1		
hsa-miR-3173-5p	1	1	1	1												1		1	1	
hsa-miR-4748		1																		
hsa-miR-4302					1								1		1					
hsa-miR-223-3p	38	111	1153	1227	212	163	47	376	306	99	89	925	353	208	60	165	453	99	144	25
hsa-miR-4634	1	1	2	2	3	3	3	9	1	3		3			2	1	4	1	1	1
hsa-miR-142-5p	427	5399	28563	9474	4575	1210	422	16110	21553	812	2068	25833	5540	5571	1024	4316	20971	766	1782	181
hsa-miR-6803-3p	1	2		1		5		3				1	2			3		10	1	2
hsa-miR-664b-5p						2		1		1		1	1	1		1	3			
hsa-miR-4525			1			1														
hsa-miR-486-3p	16	48	12	34	23	89	13	30	22	12	47	75	18	92	59	30	131	267	54	3
hsa-miR-6511a-3p	5	7	2	9	1	15	1	7	3	8	2	1		14	4	11	9	16	8	4
hsa-miR-449a	1		3					10	3		2	3	1	1	3		4	1	1	
hsa-miR-5583-5p									1		1								1	
hsa-miR-5001-5p						1	1	1			1	1					1			
hsa-miR-3619-5p													1	1					1	
hsa-miR-766-3p	8	13	43	22	13	39	14	59	31	14	5	41	33	28	15	41	46	41	20	3
hsa-miR-487b-3p	7	44	28	70	28	14	1	62	29	6	46	32	12	114	12	30	57	18	22	4
hsa-miR-330-3p	8	31	30	9	18	17	28	37	19	7	19	18	15	35	34	44	34	22	41	4
hsa-miR-186-3p		4	3	6		2		2	1		1	1		5	1		1	1		
hsa-miR-4257												1								
hsa-miR-4264													1							
hsa-miR-92b-5p			3		5		2	1				1	2	2		3	1	1	2	1
hsa-miR-6769b-3p			1	1		9	7	7	2			4		1		4			1	3
hsa-miR-6829-3p				1				1									1			
hsa-miR-6766-3p						2	2						1		1		2		3	
hsa-miR-10a-3p	2	2	2	2	1	4		8	1	2	8	5	1	7		3	6	6	4	
hsa-miR-6815-3p														1						
hsa-miR-3202												1		1			1			
